Estrato,CÃ³digo Zona Estrato
3,9
1,2
3,9
3,9
1,2
1,1
1,2
2,5
2,5
2,5
0,19
2,5
0,20
3,9
3,9
3,9
3,9
3,9
2,5
2,5
1,2
3,8
3,9
3,9
1,2
1,2
1,2
3,9
3,9
1,2
1,2
1,1
3,9
1,2
2,5
2,5
1,2
3,9
3,8
2,5
1,2
3,9
3,9
2,5
1,2
2,4
2,5
1,2
3,8
3,8
2,5
0,19
1,2
1,2
2,5
2,2
0,19
1,2
1,2
2,8
1,1
3,9
2,5
1,2
0,19
3,9
2,5
0,18
2,5
0,18
1,2
3,8
2,5
2,5
3,9
1,2
1,2
3,8
2,8
1,2
0,20
1,2
2,5
2,5
1,2
1,2
1,2
2,5
3,9
1,2
1,2
0,19
2,8
2,5
1,2
3,8
1,1
3,8
1,2
1,2
3,9
1,2
3,8
1,2
3,8
1,2
1,2
2,5
2,5
1,2
2,5
1,2
3,9
3,8
3,8
3,8
2,5
1,2
3,8
3,9
3,8
1,2
2,5
2,5
2,5
2,5
1,2
2,5
3,9
3,8
1,2
1,2
3,9
1,2
3,8
1,2
2,5
2,8
3,8
2,5
2,5
3,8
2,5
3,8
3,8
1,2
1,2
3,9
1,2
1,2
3,8
1,2
3,8
1,2
2,5
1,2
1,2
3,8
3,8
3,8
2,5
3,9
2,5
1,2
1,2
2,5
1,2
3,8
0,19
2,5
1,2
2,5
2,5
1,2
1,2
1,2
2,5
2,5
1,2
2,5
2,5
1,2
1,2
1,2
1,2
3,8
3,8
2,5
1,2
1,2
1,2
3,8
0,19
2,5
0,19
3,8
3,9
1,2
1,2
3,8
1,2
3,8
2,5
3,8
0,19
3,8
2,5
1,2
3,8
1,2
3,8
3,8
3,8
2,5
1,2
1,2
2,5
1,2
1,2
2,5
0,19
3,8
1,2
1,2
1,2
3,8
2,5
0,20
3,8
2,5
0,19
1,2
2,5
0,18
3,8
3,8
2,5
0,19
1,2
3,8
1,2
0,5
2,5
0,18
2,5
2,5
2,5
2,5
3,8
2,5
1,2
2,5
1,2
2,5
1,2
2,5
3,9
1,2
1,2
2,5
1,2
2,5
1,2
2,5
2,5
2,5
1,2
2,5
1,2
0,20
0,19
1,2
0,7
2,5
2,5
0,20
0,20
2,5
1,2
3,8
0,19
1,2
1,2
0,20
2,5
1,2
0,19
1,2
1,2
2,5
1,2
3,8
1,2
1,2
2,5
3,8
3,9
3,8
2,5
0,19
0,19
1,2
2,5
2,4
3,8
3,9
1,2
0,20
2,5
2,5
2,4
0,20
3,8
2,5
3,8
0,18
2,5
2,4
2,4
2,5
2,5
1,2
0,8
0,19
0,18
3,8
1,2
2,8
1,2
2,5
2,5
2,5
2,5
2,4
0,19
3,8
1,2
2,5
1,2
0,20
2,5
2,5
1,2
2,5
2,5
1,2
2,5
3,8
0,18
2,5
1,1
2,5
2,5
2,5
2,5
1,2
2,5
1,2
2,5
1,2
0,19
2,5
2,5
2,5
0,19
0,19
2,5
0,19
2,5
2,5
0,20
2,5
1,2
2,5
2,5
2,5
2,5
0,19
2,5
2,5
2,5
1,2
2,5
2,5
2,5
2,5
0,19
1,2
2,5
1,2
2,5
2,5
1,2
2,5
2,4
2,5
2,5
2,5
0,18
2,5
2,5
1,2
1,2
1,2
2,5
2,5
2,5
1,2
2,5
0,18
2,5
1,2
2,5
1,2
1,2
2,5
2,5
2,5
2,5
2,5
1,2
2,5
2,5
2,5
0,20
2,5
1,2
2,5
2,4
0,20
2,5
2,5
2,5
2,5
2,5
1,2
2,5
2,5
2,5
2,5
2,5
2,4
2,4
2,5
2,5
2,5
1,2
2,5
1,2
2,5
2,5
2,5
2,4
2,5
1,2
2,5
2,4
2,5
1,2
2,5
2,5
0,19
0,18
2,5
2,4
1,2
1,2
2,5
2,4
2,5
2,4
0,19
2,5
2,5
2,5
1,2
0,19
2,5
1,2
2,4
2,4
2,5
2,4
2,5
2,5
1,2
1,2
2,5
2,5
0,19
2,5
0,19
1,2
0,5
0,19
2,4
2,5
2,5
