CODIGO_LOCALIDAD,CODIGO_UNICO
11,00912450
5,00255595
2,00830423
1,00842006
7,00457380
10,00550547
11,00910426
11,00910429
19,00241550
4,00132116
12,00530606
5,20230936
5,00259247
11,00910428
12,00740508
1,00850718
13,00620917
7,00457020
10,00565794
16,00440442
11,00922217
4,00120604
16,00440319
11,00910427
8,00450955
7,00458035
9,00631121
7,00454614
15,00210425
6,00241128
11,00925769
5,00254840
11,00922890
10,00561603
16,00621104
9,00641843
10,00568084
11,00912437
7,00464264
8,00454270
10,00561307
5,00261747
7,00455255
8,00450103
9,00640254
11,00920376
8,00460744
19,00253222
13,00720217
13,00511310
5,00133734
19,00243181
3,00320611
18,00256613
1,00853501
8,00453058
17,00310314
7,00452134
19,00255798
10,00561614
1,00850727
8,00451808
11,00925814
16,00421067
9,00642332
10,00550347
1,00841213
5,00258911
11,00922118
11,00922419
4,00133408
8,00450491
10,00565789
11,00910774
12,00510310
5,00134703
5,00263004
13,00620915
7,00459513
3,00320121
5,00254860
8,00651526
2,00830530
5,00261630
1,00851417
12,00520219
2,00830607
13,00720724
3,00321011
1,00851004
1,00851423
8,00456566
5,00134524
1,00851616
11,00540372
4,00132026
3,00310912
7,00458365
8,00460752
8,00451809
9,00631315
9,00640553
1,00850106
19,00242939
11,00926279
10,00540511
5,00134452
10,00563220
7,00457915
8,00451757
19,00242922
11,00921204
8,00453687
5,00261401
1,00850566
8,00457652
2,00821124
19,00252189
8,00461294
19,00242928
12,00730123
5,00257212
19,00251316
7,00463831
2,00830805
2,00830809
7,00455338
11,00924506
4,00132857
4,00111124
11,00920732
12,00740404
1,00853396
4,00111123
10,00550902
8,00462701
11,00926373
5,00257687
7,00452960
16,00420541
16,00620514
6,00240652
16,00420670
16,00430846
7,00453332
11,00920533
19,00254628
16,00440918
5,00253806
16,00421213
4,00135229
7,00456745
7,00457509
7,00457546
7,00452953
1,00851228
4,20130468
16,00420913
11,00920412
14,00411125
7,00463828
4,00132847
8,00451870
11,00925408
17,00310336
2,00820408
11,00910769
17,00320411
7,00463116
2,00830604
5,00254209
18,00143286
19,00243156
18,00253544
4,00130418
18,00260104
1,00851546
8,00455111
5,00257682
4,00130854
19,00255842
7,00464175
13,00720515
1,00852069
5,00254227
11,00925639
10,00550337
7,00457358
19,00258424
5,00254855
11,00922007
19,00246177
19,00244253
1,00853353
14,00610349
4,00140970
4,00131987
8,00431618
12,00740616
7,00457516
16,00420719
14,00410115
11,00922837
4,00131131
19,00243036
7,00457511
19,00250215
4,00132149
8,00453466
7,00452083
19,00243237
7,00458605
4,00110324
4,00130494
9,00630159
10,00561028
10,00566840
10,00562171
1,00850317
7,00457512
11,00925488
8,00651622
8,00453022
19,00257054
2,00831420
5,00251917
18,00141732
5,00259928
10,00568450
10,00568316
11,00924235
11,00911741
10,00568346
8,00450147
10,00561785
1,00851718
5,00259039
7,00452329
10,00568321
10,00568322
16,00620416
11,00913642
8,00650626
10,00568366
10,00565773
10,00568478
10,00562546
5,00252894
11,00911707
18,00220409
13,00710513
10,00568473
10,00568479
14,00610613
5,00261724
8,00454589
11,00925225
7,00456926
17,00311014
16,00420727
6,00240731
19,00241289
10,00568470
10,00568480
9,00642048
11,00925268
8,00650327
19,00246105
7,00462506
8,00650331
10,00568301
10,00568302
17,00311010
12,00520552
9,00632043
9,00642040
19,00256062
10,00568482
10,00562661
11,00912432
9,00640856
17,00311033
16,00440676
13,00710447
5,00252987
3,00310819
11,00920813
9,00640858
19,00242824
9,00630344
8,00461217
